Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
4320;19880601;19920930;36;   54.0934;  10.2223; Ruhwinkel; Schleswig-Holstein;  Frei
4323;19690101;20250619;461;   49.6468;   7.8837; Ruppertsecken; Rheinland-Pfalz;  Frei
4327;19530301;19710716;797;   48.8765;  13.0490; Rusel-Irlmoos; Bayern;  Frei
4330;19520101;19800331;449;   48.8026;   8.9557; Rutesheim; Baden-Württemberg;  Frei
4332;19470501;19591231;235;   50.6563;  11.3894; Saalfeld; Thüringen;  Frei
4333;19361001;19610430;258;   50.8582;  11.9789; Saara-Großsaara; Thüringen;  Frei
4335;19770701;19830630;206;   49.2500;   6.9500; Saarbrücken (Röchling); Saarland;
4336;19510101;20250619;319;   49.2128;   7.1077; Saarbrücken-Ensheim; Saarland;  Frei
4338;19750701;19880126;191;   49.2170;   7.0199; Saarbrücken (Wasserwerk); Saarland;
4339;19480101;20010331;193;   49.2231;   7.0168; Saarbrücken-Sankt Johann; Saarland;  Frei
4343;19790101;19970930;180;   49.3256;   6.7354; Saarlouis; Saarland;
4347;19480101;20030708;293;   51.5909;  10.5691; Sachsa, Bad; Niedersachsen;  Frei
4349;19871101;20250619;251;   48.9569;   9.0711; Sachsenheim; Baden-Württemberg;  Frei
4350;19660101;20081231;339;   47.5619;   7.9399; Säckingen, Bad (Bergseestr.); Baden-Württemberg;
4354;19850901;20250619;457;   48.7832;  13.3146; Saldenburg-Entschenreuth; Bayern;  Frei
4364;19650101;19991231;138;   52.0355;  10.3054; Salzgitter-Ringelheim; Niedersachsen;  Frei
4367;19920401;20061231;175;   52.0781;   9.5520; Salzhemmendorf-Lauenstein; Niedersachsen;  Frei
4371;19350101;20250619;135;   52.1042;   8.7521; Salzuflen, Bad; Nordrhein-Westfalen;  Frei
4373;19360115;19720630;29;   52.8568;  11.1319; Salzwedel; Sachsen-Anhalt;  Frei
4377;19650101;20250619;518;   50.3518;  10.0034; Sandberg; Bayern;  Frei
4386;19470101;20061231;795;   47.7610;   8.1247; Sankt Blasien; Baden-Württemberg;  Frei
4390;19630101;20041231;896;   48.0091;   8.0966; Sankt Märgen; Baden-Württemberg;
4391;19510401;19691031;3;   53.9878;   9.1125; Sankt Michaelisdonn; Schleswig-Holstein;  Frei
4393;19510101;20250619;5;   54.3279;   8.6031; Sankt Peter-Ording; Schleswig-Holstein;  Frei
4396;19510101;19601231;400;   49.4672;   7.2036; Sankt Wendel-Hof; Saarland;  Frei
4397;19780201;20051231;400;   49.5025;   7.2020; Sankt Wendel-Urweiler; Saarland;  Frei
4401;19500101;19800630;81;   51.6334;   8.1872; Sassendorf, Bad-Ostinghausen; Nordrhein-Westfalen;  Frei
4411;19791201;20250619;155;   49.9195;   8.9672; Schaafheim-Schlierbach; Hessen;  Frei
4419;19470101;20041231;212;   47.9556;   7.7133; Schallstadt-Mengen; Baden-Württemberg;  Frei
4424;19660406;19861231;1205;   47.9139;   7.9083; Schauinsland (UBA); Baden-Württemberg;
4425;19510101;19651231;569;   49.4864;   7.0290; Schaumberg-Tholey; Saarland;  Frei
4429;19811201;19940831;778;   47.5880;   9.8500; Scheidegg; Bayern;  Frei
4433;19870101;20041231;519;   48.1994;   9.7700; Schemmerhofen-Ingerkingen; Baden-Württemberg;  Frei
4436;19470101;19511231;314;   50.8166;   9.8460; Schenklengsfeld; Hessen;  Frei
4438;19921201;20061231;317;   49.9750;  11.0395; Scheßlitz; Bayern;  Frei
4442;19810101;20071231;155;   51.9119;   9.1533; Schieder; Nordrhein-Westfalen;  Frei
4445;19021201;20250619;613;   51.7658;  10.6533; Wernigerode-Schierke; Sachsen-Anhalt;  Frei
4464;19510401;20250619;501;   50.5679;  11.8041; Schleiz; Thüringen;  Frei
4466;19470101;20250619;43;   54.5275;   9.5487; Schleswig; Schleswig-Holstein;  Frei
4468;19530101;19730731;19;   54.5227;   9.5649; Schleswig-Stadtfeld; Schleswig-Holstein;  Frei
4469;19380201;19800831;399;   50.5071;  10.7620; Schleusingen; Thüringen;  Frei
4471;19790101;19850731;780;   47.7358;  11.8505; Schliersee (A); Bayern;  Frei
4474;19540101;19731231;170;   49.7961;   7.7583; Schlossböckelheim; Rheinland-Pfalz;  Frei
4477;19570101;20100501;993;   47.8208;   8.1860; Schluchsee; Baden-Württemberg;  Frei
4479;19540101;19850930;375;   50.3849;   9.5358; Schlüchtern-Kloster Gomfritz; Hessen;  Frei
4480;19851001;20250619;232;   50.3447;   9.5533; Schlüchtern-Herolz; Hessen;  Frei
4484;19610101;19710331;45;   53.6615;  10.2543; Schmalenbeck; Schleswig-Holstein;  Frei
4485;20050201;20170228;296;   50.7250;  10.4539; Schmalkalden, Kurort; Thüringen;  Frei
